"score"	"label"	"x0"	"y0"	"x1"	"y1"
0.9980879426002502	"tie"	357.04	311.61	371.76	356.18
0.9947723746299744	"person"	255.72	231.94	469.54	596.3
0.9930790066719055	"vase"	187.44	343.73	240.37	415.34
0.9925434589385986	"vase"	21.49	353.4	50.81	415.1
0.9879006147384644	"potted plant"	1.43	175.1	299.31	417.85
0.9856467843055725	"dining table"	0.65	401.03	282.99	576.64
0.9201158881187439	"vase"	79.14	344.99	147.05	412.62
0.7673832178115845	"tv"	336.57	82.37	473.53	184.34
0.6804289221763611	"potted plant"	0.07	177.43	187.78	412.68
0.5576196312904358	"chair"	307.19	424.19	373.35	599.41
